Y/M/D,AvgTemperature
2017/11/8,55.1
2017/12/5,61.6
2019/11/2,60.6
2019/9/4,73.5
2018/3/13,57.1
2019/11/5,50.3
2017/5/2,64.2
2017/8/2,41.7
2020/3/11,38.3
2016/6/8,68.9
2019/4/2,43
2016/3/29,51.4
2020/3/12,73.6
2019/1/26,70.1
2017/7/14,81.9
2018/9/7,47.3
2019/11/24,62.3
2018/3/16,42.8
2019/8/16,47.9
2018/10/19,55.3
2019/8/23,50.5
2019/8/9,42.3
2018/1/20,32.1
2017/11/11,39.1
2017/7/7,80.1
2016/11/24,54.6
2018/9/28,64
2018/2/18,67.5
2018/11/25,40.1
2017/5/23,66.6
2019/9/18,63.3
2017/2/11,24.1
2016/4/17,55.4
2017/9/27,68.4
2018/7/3,80.4
2020/3/16,41.2
2018/8/5,54.2
2019/5/27,48.4
2018/3/26,54.8
2018/2/2,26
2019/7/6,84.3
2016/4/15,65.8
2017/7/20,85.8
2016/1/9,31.8
2017/10/8,65
2017/11/13,77.8
2019/9/6,50.4
2016/2/1,19.5
2016/3/15,42
2019/6/22,43.3
2016/1/31,22.8
2016/11/13,54.7
2019/10/24,62.5
2017/4/2,47.1
2017/3/2,69.2
2018/6/21,71.7
2017/1/15,21.1
2017/10/9,69.2
2018/7/28,83.2
2018/11/27,61.9
2019/8/10,44.2
2016/11/16,41.8
2017/12/30,34.3
2018/5/13,52
2018/3/19,46.2
2016/6/24,72.7
2018/12/22,59.2
2016/1/16,31.9
2019/10/3,62.4
2016/9/4,55.8
2018/12/15,66.4
2017/7/20,43
2019/6/1,63.7
2016/9/14,73.4
2020/3/27,49.5
2017/6/21,75.2
2018/3/25,46.4
2016/7/13,78.3
2018/4/13,58.7
2017/9/14,52.4
2018/8/30,52
2018/9/2,78.6
2017/9/2,57.6
2019/1/21,71.5
2018/7/8,75.9
2016/2/11,50.5
2017/7/10,74.4
2020/2/3,28
2017/9/29,55.7
2019/12/25,37
2017/7/23,80.4
2019/3/11,42
2018/1/3,62.9
2016/2/9,67.8
2017/12/31,65.8
2016/1/23,8.4
2018/7/12,79.2
2019/10/19,60.2
2017/10/6,66
2016/7/6,51
2016/3/14,38.5
2017/9/16,45.3
2017/7/18,79.8
2018/6/11,54.6
2019/3/6,42.7
2017/1/1,41.6
2019/4/25,60.9
2016/10/31,52.6
2016/1/18,14.6
2018/6/7,69.5
2016/5/2,69.8
2018/1/5,24
2018/8/14,87.8
2018/4/20,57.7
2019/2/25,79.2
2020/3/24,57.5
2017/3/6,66.4
2017/12/13,15.9
2017/7/29,81.3
2017/9/7,50.1
2016/9/12,50.6
2017/10/12,57
2016/7/11,53.9
2016/5/29,46.4
2019/1/29,74.8
2017/11/20,74.7
2018/3/2,65.1
2018/3/9,37
2016/7/28,79.4
2017/12/27,21.2
2019/3/17,40.3
2017/12/6,34.9
2019/6/17,70.2
2016/12/24,27
2016/7/27,81.9
2017/12/14,64.4
2018/1/22,25.7
2017/5/20,66.9
2017/7/11,44.6
2018/3/6,38.7
2018/7/27,85.6
2016/2/21,68.8
2017/9/15,71.8
2019/9/7,77.4
2016/9/22,67.9
2017/5/30,45.7
2016/3/26,41.5
2017/1/17,77.1
2018/9/7,68.1
2018/7/23,85.7
2016/1/16,65
2016/5/16,59.7
2019/4/27,54.9
2019/11/22,57
2017/5/22,68.8
2018/12/4,37
2017/2/23,28.6
2020/3/15,37.4
2018/3/17,44.5
2019/1/19,37.1
2016/12/22,37.4
2018/3/25,60.8
2016/6/11,45.8
2016/7/11,81.1
2016/1/27,26.1
2018/2/2,64.7
2018/4/9,66.7
2017/7/31,45.8
2016/12/3,39.9
2019/2/24,40.5
2018/7/15,47.3
2017/9/30,67.6
2018/5/29,51.3
2018/11/21,38.5
2017/3/9,37
2019/7/16,51.3
2016/9/7,75.4
2016/6/13,49.7
2019/5/29,43.9
2016/5/21,73
2017/4/13,61
2019/2/15,65.8
2019/5/11,64.5
2017/11/6,52.6
2018/11/25,58
2020/3/4,65.3
2019/3/26,51.2
2017/4/28,59.5
2019/7/21,77.7
2017/12/2,39.2
2016/10/20,66.3
2016/6/21,77.5
2019/8/23,76.7
2019/7/2,51.8
2019/10/4,51.5
2016/11/4,57.4
2016/5/16,60.5
2016/8/15,54.1
2016/6/9,53.3
2018/7/29,86.5
2019/9/2,56.6
2019/6/22,75.8
2019/12/12,29.2
2020/5/10,49.2
2017/6/29,47.1
2017/12/4,24.9
2019/11/28,61.4
2016/1/1,68.9
2019/2/1,64
2018/4/28,56.5
2018/11/24,37
2018/4/15,47.7
2017/6/8,49.1
2018/4/10,59.5
2016/12/19,73.2
2017/8/14,75.2
2016/11/9,36.8
2019/5/12,57
2018/12/16,32.3
2020/2/14,44.2
2017/3/7,28.3
2017/2/7,68.5
2017/10/13,53.2
2019/9/28,71.2
2016/4/9,51.9
2017/12/30,60.8
2016/6/1,73.2
2019/11/2,54.6
2016/9/20,56
2019/10/13,61.2
2018/8/31,52.1
2018/4/11,70.6
2018/8/12,86.4
2016/12/17,41.2
2018/12/12,75
2020/4/8,48
2016/7/7,50.2
2018/2/21,28.9
2018/7/14,80.7
2020/2/10,36.9
2016/7/24,81.7
2018/6/17,71.4
2016/9/28,57.6
2017/6/4,48.9
2016/9/15,51
2017/10/1,63.8
2016/6/7,69.6
2017/9/28,61.5
2019/3/24,73
2017/1/6,80.6
2017/6/22,74.8
2016/7/10,52.2
2016/9/3,52
2018/4/18,57.7
2018/2/10,24.4
2017/10/12,48.3
2020/2/7,31.9
2017/3/17,44.9
2019/5/10,62.5
2017/12/20,61.1
2018/12/30,63.8
2016/5/28,67.9
2018/1/13,25.9
2017/6/3,46
2016/10/15,64.7
2016/2/1,67.4
2019/12/23,33.6
2020/4/25,62.4
2020/1/22,69
2017/1/19,66.4
2018/11/15,-99
2016/11/1,33.5
2020/4/1,48.1
2017/11/24,73.7
2016/7/25,47.6
2017/12/28,31.4
2017/5/10,60.1
2017/8/18,44.8
2016/2/23,84.8
2016/3/9,33.1
2018/8/7,51.7
2017/2/17,28
2016/2/22,77.2
2017/7/26,46.9
2018/6/3,48.4
2017/3/28,65.1
2018/8/8,47.7
2018/4/30,66
2019/3/29,46
2017/5/3,49
2019/2/18,62.7
2019/4/21,67
2018/3/14,62.1
2018/5/31,46
2016/2/22,35.6
2017/10/17,59.5
2016/10/5,54.9
2017/8/5,50
2019/10/28,56.5
2020/1/10,30.5
